Titulo_original;Titulo_encontrado;Fuente;Sinopsis;Poster_URL;Generos;Puntuacion;Episodios;URL_Externa
El Jardín de las Palabras [2013][1080p][4.35 Gb];Kotonoha no Niwa;Jikan (MyAnimeList);On a rainy morning in Tokyo, Takao Akizuki, an aspiring shoemaker, decides to skip class to sketch designs in a beautiful garden. This is where he meets Yukari Yukino, a beautiful yet mysterious woman, for the very first time. Offering to make her new shoes, Takao continues to meet with Yukari throughout the rainy season, and without even realizing it, the two are able to alleviate the worries hidden in their hearts just by being with each other. However, their personal struggles have not disappeared completely, and as the end of the rainy season approaches, their relationship will be put to the test.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1597/112995l.jpg;Award Winning, Drama, Romance;7.85;1;https://myanimelist.net/anime/16782/Kotonoha_no_Niwa
El Niño y la Garza [2023][1080p][4.25 Gb];El Cazador de la Bruja;Jikan (MyAnimeList);"Nadie is a bounty hunter with an attitude, and she's got a lock on her next target: Ellis, a young amnesiac girl who is a suspect in the murder of a famous scientist. Nadie manages to apprehend Ellis, but on a whim, decides to accompany her to Wiñay Marka, a place which supposedly holds the key to unlocking Ellis's memories and her mysterious past. However, Nadie cautions Ellis that this does not mean she will go free—once Ellis has found what she is looking for, Nadie will turn her over to the authorities. With Ellis's connection to a gemstone called the Inca Rose as their only guide, the two set off on their journey south through Mexico to search for the mysterious ""Eternal City"" of Wiñay Marka.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/1446/98891l.jpg;Adventure, Drama, Mystery;7.23;26;https://myanimelist.net/anime/2030/El_Cazador_de_la_Bruja
El Recuerdo De Marnie;Omoide no Marnie;Jikan (MyAnimeList);Suffering from frequent asthma attacks, young Anna Sasaki is quiet, unsociable, and isolated from her peers, causing her foster parent endless worry. Upon recommendation by the doctor, Anna is sent to the countryside, in hope that the cleaner air and more relaxing lifestyle will improve her health and help clear her mind. Engaging in her passion for sketching, Anna spends her summer days living with her aunt and uncle in a small town near the sea.  One day while wandering outside, Anna discovers an abandoned mansion known as the Marsh House. However, she soon finds that the residence isn't as vacant as it appears to be, running into a mysterious girl named Marnie. Marnie's bubbly demeanor slowly begins to draw Anna out of her shell as she returns night after night to meet with her new friend. But it seems there is more to the strange girl than meets the eye—as her time in the town nears its end, Anna begins to discover the truth behind the walls of the Marsh House.  Omoide no Marnie tells the touching story of a young girl's journey through self-discovery and friendship, and the summer that she will remember for the rest of her life.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/7/64293l.jpg;Drama, Mystery, Suspense;8.04;1;https://myanimelist.net/anime/21557/Omoide_no_Marnie
El Tiempo Contigo [2013][1080p][4.90 Gb];Tenki no Ko;Jikan (MyAnimeList);"Tokyo is currently experiencing rain showers that seem to disrupt the usual pace of everyone living there to no end. Amidst this seemingly eternal downpour arrives the runaway high school student Hodaka Morishima, who struggles to financially support himself—ending up with a job at a small-time publisher. At the same time, the orphaned Hina Amano also strives to find work to sustain herself and her younger brother.  Both fates intertwine when Hodaka attempts to rescue Hina from shady men, deciding to run away together. Subsequently, Hodaka discovers that Hina has a strange yet astounding power: the ability to call out the sun whenever she prays for it. With Tokyo's unusual weather in mind, Hodaka sees the potential of this ability. He suggests that Hina should become a ""sunshine girl""—someone who will clear the sky for people when they need it the most.  Things begin looking up for them at first. However, it is common knowledge that power always comes with a hefty price...  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/1880/101146l.jpg;Award Winning, Drama, Romance, Supernatural;8.27;1;https://myanimelist.net/anime/38826/Tenki_no_Ko
El Viaje de Chihiro [2001][1080p][2.48 Gb];Sen to Chihiro no Kamikakushi;Jikan (MyAnimeList);Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way.  Vivid and intriguing, Sen to Chihiro no Kamikakushi tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/6/79597l.jpg;Adventure, Award Winning, Fantasy;8.77;1;https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
"Evangelion Shin Gekijôban; Jo (Evangelion; 1.0 You Are (Not) Alone) [2007][1080p][3.7 Gb]";Evangelion Movie 1: Jo;Jikan (MyAnimeList);"In a post-apocalyptic world, the last remaining human settlement in Japan is the heavily fortified city of Tokyo-3. Fourteen-year-old Shinji Ikari is brought to the headquarters of NERV, an underground organization lead by his estranged father, Gendou. He requests that Shinji become a pilot of an ""Evangelion,"" a colossal android built to fight against monstrous and destructive alien creatures known as ""Angels"" that wreak havoc on the planet and threaten the survival of the remaining human race.  Although initially reluctant, Shinji is swayed by the idea of reconciling with his father, and agrees to aid in mankind's perilous endeavor against its alien threat, as the pilot of Evangelion Unit-01. Thrust into the midst of a dangerous battlefield, Shinji must find the necessary courage and resolve to face against the Angels' incursions before it is too late.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/7/74975l.jpg;Award Winning, Drama, Sci-Fi, Suspense;8;1;https://myanimelist.net/anime/2759/Evangelion_Movie_1__Jo
Fairy Tail;Fairy Tail;Jikan (MyAnimeList);"In the enchanted Kingdom of Fiore, the lively Lucy Heartfilia has one wish: to join the renowned Fairy Tail—one of the many magical wizard guilds scattered around the continent. Luckily, a chance encounter with Natsu Dragneel, the ""Salamander"" of Fairy Tail, whisks her into the legendary guild.  From Natsu's rivalrous antics with ice wizard Gray Fullbuster to the frightening presence of the unmatched combat goddess Erza Scarlet, Fairy Tail's powerful mages have a slight penchant for trouble. Through all the lucrative odd jobs and adventures to save the world from destruction lies an absolute and unyielding trust stronger than family that has formed between each guild member.  Teaming up with Natsu, Gray, and Erza, Lucy finds herself amidst the guild's most misfit wizards. But as they constantly stand in the eye of every danger, there is one name that never ceases to resurface: Zeref, the feared master of dark magic.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/5/18179l.jpg;Action, Adventure, Fantasy;7.57;175;https://myanimelist.net/anime/6702/Fairy_Tail
Fate;Fate/Zero;TMDB;"Después de tres batallas inconclusas por conseguir el Santo Grial, un artefacto capaz de conceder un milagro a quien lo posea, una cuarta guerra da comienzo. Precuela del anime ""Fate/stay night"".";https://image.tmdb.org/t/p/original/hfTEDISVpFMqmp6uOGylsSakyXZ.jpg;Action & Adventure, Animación, Sci-Fi & Fantasy;7.972;25;https://www.themoviedb.org/tv/45845
Fire Force [Enen no Shouboutai];Enen no Shouboutai;Jikan (MyAnimeList);Spontaneous Human Combustion: a chaotic phenomenon that has plagued humanity for years, randomly transforming ordinary people into flaming, violent creatures known as Infernals. While Infernals make up the first-generation accounts of Human Combustion, the second and third generations became known as pyrokinetics—people gifted with the ability to manipulate and control their flames while remaining human. To combat the Infernal threat and discover the cause, the Tokyo Armed Forces, Fire Defense Agency, and Holy Church of Sol produced their answer: the Special Fire Force.  Young and eager third-generation pyrokinetic Shinra Kusakabe, nicknamed Devil's Footprints for his explosive ability to ignite his feet at will, becomes a member of the lively Special Fire Force Company 8. Upholding the brigade's duty to extinguish the blazing Infernals and lay their souls to rest, Shinra is determined to become a hero who will save the lives of those threatened by the flame terror.  However, this is not the hero's game Shinra imagined. The Fire Force is a fractured mess of feuding brigades, abnormal Infernal sightings are increasing all over Tokyo, and a shadowy group is claiming to have answers to the strange fire that caused the death of Shinra's family 12 years ago. Faced with many obstacles within and outside the Fire Force, Shinra fights to uncover the truth behind the burning mysteries that have kept him in the dark.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1664/103275l.jpg;Action, Fantasy, Sci-Fi;7.72;24;https://myanimelist.net/anime/38671/Enen_no_Shouboutai
Fuguushoku «Kanteishi» ga Jitsu wa Saikyou Datta;Fuguushoku [Kanteishi] ga Jitsu wa Saikyou Datta: Naraku de Kitaeta Saikyou no [Shingan] de Musou Suru;TMDB;"Ain nació con el trabajo de ""Tasador"", considerado inútil, y fue despreciado y abandonado. Pero su destino cambia al encontrar una mazmorra oculta, donde obtiene el ""ojo espiritual"", un poder que le permite verlo todo. Ahora, con una nueva oportunidad, se embarca en el camino para convertirse en el más fuerte.";https://image.tmdb.org/t/p/original/iWQchD5iAc3Ou9zTQnPuNbLPsLB.jpg;Animación, Action & Adventure, Sci-Fi & Fantasy, Drama;6.622;12;https://www.themoviedb.org/tv/270474
Full Metal Panic - Fumoffu;Full Metal Panic? Fumoffu;Jikan (MyAnimeList);"Sergeant Sousuke Sagara returns to Jindai High School to protect the precious war asset, Kaname Chidori, from any threat. However, his lack of social skills and real-life experience result in comical yet dangerous situations, endangering the peaceful school life Kaname longs for. As Sousuke continues to bring a wide range of weapons to school as a means to solve threats—real or fake—Kaname struggles to fulfill her duty as the student council vice president all while keeping him in check.   To ensure a successful mission, Sousuke is occasionally forced to use the costume of a famous amusement park mascot called Bonta-kun. With his technical expertise, he eventually transforms the exuberant uniform into a cutting-edge exoskeleton that has only one dysfunction: the voice translator can only produce the sound ""mofu.""   Full Metal Panic? Fumoffu depicts the adventures of Kaname and Sousuke as they try to live their normal school lives despite the chaos they inadvertently cause.   [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/4/75260l.jpg;Action, Comedy;8.02;12;https://myanimelist.net/anime/72/Full_Metal_Panic_Fumoffu
Full Metal Panic! DVD;Full Metal Panic!;Jikan (MyAnimeList);"Mithril, a covert military institution using state-of-the-art technology to combat terrorist operations, assigns a specialized team to a sensitive mission. Under the command of superior officer Melissa Mao, sergeants Sousuke Sagara and Kurz Weber must secretly protect Kaname Chidori—a teenage girl who unconsciously holds breakthrough scientific knowledge and is considered a ""Whispered""—from intelligence agencies and other organizations pursuing her abilities.  While Kurz and Melissa are to assist him remotely, Sousuke enrolls at Kaname's high school as one of her classmates to closely monitor her. However, his militaristic upbringing and poor social skills lead to a difficult adjustment to civilian life. Not only does he attract unnecessary attention, but his actions frequently make Kaname suspicious of him.  Despite the earnest attempts to fulfill his duty, a terrorist ambush further complicates Sousuke's task. Recognizing the vicious mastermind behind the assault, Sousuke abandons his orders to ensure Kaname's safety.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/2/75259l.jpg;Comedy;7.59;24;https://myanimelist.net/anime/71/Full_Metal_Panic
Fullmetal Alchemist - Brotherhood BD;Fullmetal Alchemist: Brotherhood;Jikan (MyAnimeList);"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.  The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.  As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/1208/94745l.jpg;Action, Adventure, Drama, Fantasy;9.11;64;https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Fumetsu no Anata e;Fumetsu no Anata e;Jikan (MyAnimeList);An Orb, known only as It, is cast to Earth to be observed from afar. Capable of changing forms from beings whose reflections It captures, It first becomes a rock and then, due to the rising temperature, moss.  It does not move until one snowy day, a wolf at death's door barely crosses by. When It takes the animal's form, It attains awareness of its consciousness and starts to wander with an unclear destination in mind. Soon, It comes across the wolf's master—a young boy waiting for his tribe to return from a paradise abundant with fish and fruit in the south. Although the boy is lonely, he still hopes those whom he holds dear in his memories have not forgotten him and that he will reunite with them one day.  The boy wants to explore new surroundings and decides to abandon his home with It to find the paradise using the traces his tribe left behind. However, with a heavily injured body and no sight of his elder comrades, what will become of the boy?  Fumetsu no Anata e illustrates the story of an immortal being experiencing humanity, meeting all types of people in many places throughout time.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1880/118484l.jpg;Adventure, Drama, Supernatural;8.35;20;https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e
Gangsta;Gangsta.;TMDB;La ciudad de Ergastulum es una villa sombría llena de ladrones, prostitutas y policías corruptos, donde tienen lugar hechos demasiado atroces incluso para sus habitantes. En este contexto aparecen Nic y Worick, los llamados Handymen, que se encargan de realizar los trabajos sucios que nadie más quiere hacer, hasta que un policía les pide ayuda para acabar con una banda que lucha por el territorio de una de las mafias más poderosas.;https://image.tmdb.org/t/p/original/ue7g8bHgJ0aBC86ZjSkYdOzpL3i.jpg;Drama, Action & Adventure, Animación, Crimen;7.213;12;https://www.themoviedb.org/tv/66390
Gangsta;Gangsta.;TMDB;La ciudad de Ergastulum es una villa sombría llena de ladrones, prostitutas y policías corruptos, donde tienen lugar hechos demasiado atroces incluso para sus habitantes. En este contexto aparecen Nic y Worick, los llamados Handymen, que se encargan de realizar los trabajos sucios que nadie más quiere hacer, hasta que un policía les pide ayuda para acabar con una banda que lucha por el territorio de una de las mafias más poderosas.;https://image.tmdb.org/t/p/original/ue7g8bHgJ0aBC86ZjSkYdOzpL3i.jpg;Drama, Action & Adventure, Animación, Crimen;7.213;12;https://www.themoviedb.org/tv/66390
Garouden - El camino del lobo solitario;Garōden: El camino del lobo solitario;TMDB;Huyendo de un crimen del pasado, Juzo Fujimaki es chantajeado para unirse a un torneo ilícito en el que tendrá que enfrentarse a los mejores luchadores en enfrentamientos a muerte.;https://image.tmdb.org/t/p/original/oErcrWuqjHqigYuovMhqym5VmzW.jpg;Animación, Action & Adventure;7.183;8;https://www.themoviedb.org/tv/252425
Gate - Jieitai Kanochi nite, Kaku Tatakaeri;Gate: Jieitai Kanochi nite, Kaku Tatakaeri;Jikan (MyAnimeList);"Off-duty Japan Self-Defense Forces (JSDF) officer and otaku Youji Itami is on his way to attend a doujin convention in Ginza, Tokyo when a mysterious portal in the shape of a large gate suddenly appears. From this gate, supernatural creatures and warriors clad in medieval armor emerge, charging through the city, killing and destroying everything in their path. With swift actions, Youji saves as many lives as he can while the rest of the JSDF direct their efforts toward stopping the invasion.  Three months after the attack, Youji has been tasked with leading a special recon team, as part of a JSDF task force, that will be sent to the world beyond the gate—now being referred to as the ""Special Region."" They must travel into this unknown world in order to learn more about what they are dealing with and attempt to befriend the locals in hopes of creating peaceful ties with the ruling empire. But if they fail, they face the consequence of participating in a devastating war that will engulf both sides of the gate.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/8/76222l.jpg;Action, Adventure, Fantasy;7.68;12;https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri
Gekijōban Bishōjo Senshi Sailor Moon Cosmos [2024][1080p][4.3 Gb];Kimetsu no Yaiba Movie: Mugen Ressha-hen;Jikan (MyAnimeList);After a string of mysterious disappearances begin to plague a train, the Demon Slayer Corps' multiple attempts to remedy the problem prove fruitless. To prevent further casualties, the Flame Pillar, Kyoujurou Rengoku, takes it upon himself to eliminate the threat. Accompanying him are some of the Corps' most promising new blood: Tanjirou Kamado, Zenitsu Agatsuma, and Inosuke Hashibira, who all hope to witness the fiery feats of this model demon slayer firsthand.  Unbeknownst to them, the demonic forces responsible for the disappearances have already put their sinister plan in motion. Under this demonic presence, the group must muster every ounce of their willpower and draw their swords to save all two hundred passengers onboard. As things begin to spiral out of control, Tanjirou's resolve and commitment to duty are put to the test.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1704/106947l.jpg;Action, Supernatural;8.54;1;https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
Gekijouban Bishoujo Senshi Sailor Moon Eternal II [2021][1080p][2 Gb];Bishoujo Senshi Sailor Moon Eternal Movie 1;Jikan (MyAnimeList);"The Dead Moon Circus has arrived in Juban with the hopes of liberating their queen, Nehellenia, by stealing the Legendary Silver Crystal for themselves. Using ""Lemures,"" the Circus begins to convert people's dreams into nightmares in order to collect enough energy to plunge the Earth into darkness and turn it into a planet of death. In order to stop the Circus in their tracks, Usagi Tsukino and her friends must reprise their roles as the Inner Sailor Guardians.  When Mamoru Chiba suddenly falls ill after the appearance of a total solar eclipse, Usagi and Chibiusa encounter a pegasus by the name of Helios who is desperate to unseal the Golden Crystal, which Helios claims is the only way to save their world from the impending threat. Meanwhile, the Sailor Guardians discover that they can no longer transform following the eclipse and begin to fall victim to the Circus' Lemures. Will they be able to recover their powers in time to stop the darkness from taking over?  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/1312/110461l.jpg;Romance;7.59;1;https://myanimelist.net/anime/40024/Bishoujo_Senshi_Sailor_Moon_Eternal_Movie_1
Genius Party [2007][1080p][2.83 Gb];Genius Party;Jikan (MyAnimeList);A collection of seven individual and unique shorts which range from touching to downright bizarre. With each story different from the last, we encounter monsters going to school, a man who has a hard time dealing with himself, and a child who learns the hard way about the circle of life, as well as many other unique characters and experiences.  A journey through the minds of the most prolific artists in Japan, this compilation truly is the setting of a Genius Party.   [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1910/98828l.jpg;Avant Garde, Fantasy, Romance, Sci-Fi;7.1;7;https://myanimelist.net/anime/3508/Genius_Party
Ghost in the Shell [1995][720p][1.22 Gb];Koukaku Kidoutai;Jikan (MyAnimeList);"In the year 2029, Niihama City has become a technologically advanced metropolis. Due to great improvements in cybernetics, its citizens are able to replace their limbs with robotic parts. The world is now more interconnected than ever before, and the city's Public Security Section 9 is responsible for combating corruption, terrorism, and other dangerous threats following this shift toward globalization.  The strong-willed Major Motoko Kusanagi of Section 9 spearheads a case involving a mysterious hacker known only as the ""Puppet Master,"" who leaves a trail of victims stripped of their memories. Like many in this futuristic world, the Puppet Master's body is almost entirely robotic, giving them incredible power.  As Motoko and her subordinates follow the enigmatic criminal's trail, other parties—including Section 6—start to get involved, forcing her to confront the extremely complicated nature of the case. Pondering about various philosophical questions, such as her own life's meaning, Motoko soon realizes that the one who will provide these answers is none other than the Puppet Master themself.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/10/82594l.jpg;Award Winning, Mystery, Sci-Fi, Suspense;8.27;1;https://myanimelist.net/anime/43/Koukaku_Kidoutai
Gintama;Gintama;Jikan (MyAnimeList);"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public.   Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways.   Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/10/73274l.jpg;Action, Comedy, Sci-Fi;8.93;201;https://myanimelist.net/anime/918/Gintama
Gintama_;Gintama';Jikan (MyAnimeList);After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.  Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.  With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/4/50361l.jpg;Action, Comedy, Sci-Fi;9.02;51;https://myanimelist.net/anime/9969/Gintama
Gintama__-_Enchousen;Gintama';Jikan (MyAnimeList);After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.  Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.  With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/4/50361l.jpg;Action, Comedy, Sci-Fi;9.02;51;https://myanimelist.net/anime/9969/Gintama
Gintama°;Gintama°;Jikan (MyAnimeList);"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?  Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.  Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/3/72078l.jpg;Action, Comedy, Sci-Fi;9.05;51;https://myanimelist.net/anime/28977/Gintama°
Given - Uragawa no Sonzai [Kashikoi];Given: Uragawa no Sonzai;Jikan (MyAnimeList);"Since the night of ""given's"" first live performance, the relationship between Mafuyu Satou and Ritsuka Uenoyama has been smooth sailing. Their shared love of music reinforces their bond, and every moment spent together makes them more inseparable. Nevertheless, there will come times when they will suffer setbacks, with both of them consumed by their inner turmoil.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/1031/115154l.jpg;Boys Love, Drama;8.13;1;https://myanimelist.net/anime/49053/Given__Uragawa_no_Sonzai
Gleipnir;Gleipnir;Jikan (MyAnimeList);Shuuichi Kagaya is what one would consider an average high school student, but sometimes, he turns into a monster. He doesn't know how or why he got his abilities, only that he would prefer no one knows about them. One night, he finds a building ablaze with a girl trapped inside. Deciding to save her, he transforms and carries her to safety, but accidentally drops his phone.  The next day, the girl he saved—Claire Aoki—finds him and confronts him about his monster identity. She even goes so far as to push him off the school roof to prove her theory after Shuuichi denies her allegations. Desperate to save himself, he transforms, and Claire snaps a picture in order to blackmail him into telling her everything he knows about monsters, which, ironically, isn't much.  As it turns out, Claire has a secret of her own: she has been searching for her sister, who also became a monster. She enlists Shuuichi's help to track her down, but they aren't the only ones searching for answers.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1808/111697l.jpg;Action, Mystery, Ecchi;6.94;13;https://myanimelist.net/anime/39463/Gleipnir
Goblin Slayer;Goblin Slayer;Jikan (MyAnimeList);Goblins are known for their ferocity, cunning, and rapid reproduction, but their reputation as the lowliest of monsters causes their threat to be overlooked. Raiding rural civilizations to kidnap females of other species for breeding, these vile creatures are free to continue their onslaught as adventurers turn a blind eye in favor of more rewarding assignments with larger bounties.  To commemorate her first day as a Porcelain-ranked adventurer, the 15-year-old Priestess joins a band of young, enthusiastic rookies to investigate a tribe of goblins responsible for the disappearance of several village women. Unprepared and inexperienced, the group soon faces its inevitable demise from an ambush while exploring a cave. With no one else left standing, the terrified Priestess accepts her fate—until the Goblin Slayer unexpectedly appears to not only rescue her with little effort, but destroy the entire goblin nest.   As a holder of the prestigious Silver rank, the Goblin Slayer allows her to accompany him as he assists the Adventurer's Guild in all goblin-related matters. Together with the Priestess, High Elf, Dwarf, and Lizardman, the armored warrior will not rest until every single goblin in the frontier lands has been eradicated for good.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1719/95621l.jpg;Action, Adventure, Fantasy;7.41;12;https://myanimelist.net/anime/37349/Goblin_Slayer
Golden Kamuy;Golden Kamuy;Jikan (MyAnimeList);"In early 1900s Hokkaido after the Russo-Japanese war, Saichi Sugimoto tirelessly pans for gold. Nicknamed ""Sugimoto the Immortal"" for his death-defying acts in battle, the ex-soldier seeks fortune in order to fulfill a promise made to his best friend before he was killed in action: to support his family, especially his widow who needs treatment overseas for her deteriorating eyesight. One day, a drunken companion tells Sugimoto the tale of a man who murdered a group of Ainu and stole a fortune in gold. Before his arrest by the police, he hid the gold somewhere in Hokkaido. The only clue to its location is the coded map he tattooed on the bodies of his cellmates in exchange for a share of the treasure, should they manage to escape and find it.  Sugimoto does not think much of the tale until he discovers the drunken man's corpse bearing the same tattoos described in the story. But before he can collect his thoughts, a grizzly bear—the cause of the man's demise—approaches Sugimoto, intent on finishing her meal. He is saved by a young Ainu girl named Asirpa, whose father happened to be one of the murdered Ainu. With Asirpa's hunting skills and Sugimoto's survival instincts, the pair agree to join forces and find the hidden treasure—one to get back what was rightfully her people's, and the other to fulfill his friend's dying wish.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/1145/90880l.jpg;Action, Adventure;7.89;12;https://myanimelist.net/anime/36028/Golden_Kamuy
Granblue Fantasy The Animation;Granblue Fantasy The Animation;Jikan (MyAnimeList);"This is a world of the skies, where many islands drift in the sky. A boy named Gran and a talking winged lizard named Vyrn lived in Zinkenstill, an island which yields mysteries. One day, they come across a girl named Lyria. Lyria had escaped from the Erste Empire, a military government that is trying to rule over this world using powerful military prowess. In order to escape from the Empire, Gran and Lyria head out into the vast skies, holding the letter Gran's father left behind—which said, ""I will be waiting at Estalucia, Island of Stars.""  (Source: Aniplex of America)";https://cdn.myanimelist.net/images/anime/2/81630l.jpg;Action, Adventure, Fantasy;6.63;13;https://myanimelist.net/anime/31629/Granblue_Fantasy_The_Animation
