Titulo_original;Titulo_encontrado;Fuente;Sinopsis;Poster_URL;Generos;Puntuacion;Episodios;URL_Externa
Ao no Exorcist - Kyoto Fujouou-hen;Ao no Exorcist: Kyoto Fujouou-hen;Jikan (MyAnimeList);The ExWire of True Cross Academy are beset with shock and fear in the aftermath of discovering that one of their own classmates, Rin Okumura, is the son of Satan. But for the moment, they have more pressing concerns than that of Rin's parentage: the left eye of the Impure King, a powerful demon, has been stolen from the academy's Deep Keep. After an attempt is made to steal the right eye in Kyoto as well, Rin and the other ExWires are sent to investigate the mystery behind the Impure King and the ultimate goal of the thief.  While this mission has them cooperating for the time being, Rin has never felt more distant from his fellow exorcists. In his attempt to reconcile with them, he undergoes specialized training to control his dark power. However, when the right eye is stolen not long after their arrival, the unthinkable threat of a traitor amongst them leaves them in need of all the power they can get.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/5/85201l.jpg;Action, Supernatural;7.34;12;https://myanimelist.net/anime/33506/Ao_no_Exorcist__Kyoto_Fujouou-hen
Ao no Exorcist - Ura Ex;Ao no Exorcist: Ura Ex;Jikan (MyAnimeList);Ura Ex, extra short anime included in Blu-ray and the DVD releases of Ao no Exorcist.;https://cdn.myanimelist.net/images/anime/11/38149l.jpg;Comedy;7.04;10;https://myanimelist.net/anime/10647/Ao_no_Exorcist__Ura_Ex
Ao no Hako;Ao no Hako;Jikan (MyAnimeList);Every morning, incoming first-year Taiki Inomata hurries to his high school gym in order to further refine his badminton skills. However, his true motivation stems from sharing the otherwise empty gym with second-year Chinatsu Kano, Taiki's crush and the star player of the girls' basketball team. Although Chinatsu seems unapproachable, Taiki gradually finds opportunities to get to know her little by little.  Unbeknownst to Taiki, his tireless work ethic and admiration motivate Chinatsu to work harder and strive to achieve her greatest ambitions. When her family must suddenly move overseas for work, Chinatsu decides to remain in Japan and shoot for victory at the national level. With nowhere to stay, she is taken in by Taiki's mother, who is longtime friends with Chinatsu's own. Overwhelmed with the new reality of living alongside the girl he loves, Taiki resolves to join Chinatsu at the national level in his own sport—and grow closer to her in the process.  Still, despite being good enough to catch his coach's eye, Taiki must fight an uphill battle to qualify for a spot on the starting team. Cheered on by both Chinatsu and gymnast Hina Chouno, his childhood friend, Taiki aims to make a name for himself among his powerful upperclassmen.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1341/145349l.jpg;Romance, Sports;8.16;25;https://myanimelist.net/anime/57181/Ao_no_Hako
Arifureta - From Commonplace to World’s Strongest;Arifureta Shokugyou de Sekai Saikyou;Jikan (MyAnimeList);The ordinary life of 17-year-old otaku Hajime Nagumo is disrupted when he and his classmates are summoned to a fantasy world and tasked with saving mankind. While his classmates are gifted with impressive abilities useful in combat, Hajime is belittled for only gaining an inferior transmutation skill that lacks any real offensive power.   During an expedition in the Great Orcus Labyrinth, Hajime is betrayed by one of his classmates, plummeting him to the bottom of an abyss. Though he survives the fall, Hajime is faced with menacing monsters and misfortunes that send him spiraling into a grim nightmare. Desperate to live and return home one day, he resolves to fight for his survival—only to meet an imprisoned vampire he names Yue, who is also seeking to escape the labyrinth. Taking an interest in him, Yue and a few others along the way accompany Hajime on his journey to find a way back home, while steadily transforming from commonplace to the world's strongest.   [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1776/97682l.jpg;Action, Adventure, Fantasy;6.72;13;https://myanimelist.net/anime/36882/Arifureta_Shokugyou_de_Sekai_Saikyou
Assassination Classroom;Ansatsu Kyoushitsu;Jikan (MyAnimeList);"Tucked in the mountains near the elite Kunugigaoka Middle School lies a small derelict building that houses the delinquents and dropouts of Class 3-E. Looked down upon by their peers, the students in this class appear to have little hope in advancing their academic careers. That is, until the national government tasks them with eliminating the greatest threat to their planet: their new teacher.   Having already destroyed the moon, the octopus-like professor—dubbed ""Koro-sensei""—has now threatened to destroy the Earth by March of the following year. In light of their mission, the students have found that killing him is easier said than done. Not only can Koro-sensei move at speeds of up to Mach 20, but he can also resist almost every earthly weapon. Ironically, he also proves to be one of the best teachers Class 3-E has ever had. Training the class to excel in both their studies as students and skills as assassins, Koro-sensei is confident that his students' ingenuity and indomitable will could return them to the main campus.   Through trial and error, Nagisa Shiota, as well as the other students of Class 3-E, must figure out Koro-sensei's weaknesses—and fast, for the very fate of the world depends upon it.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/5/75639l.jpg;Action, Comedy;8.07;22;https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu
Assassination Classroom Temporada 2;Ansatsu Kyoushitsu 2nd Season;Jikan (MyAnimeList);Returning from their summer vacation, the students of Class 3-E at the prestigious Kunugigaoka Middle School find themselves up against unbeatable odds. Faced with the possibility of world annihilation, the students must come up with increasingly elaborate and creative ways to kill their teacher, the cunning yet optimistic and helpful Koro-sensei.   However, eliminating Koro-sensei is not the only objective the students need to worry about. Gakuhou Asano, the academy's merciless and cruel principal, seeks to prevent Class 3-E's success by brainwashing his other hard-working pupils into ruthlessly competitive studying machines. Hostility begins to linger in the air as traitors and killers alike attempt to claim the bounty on Koro-sensei's head for themselves.   Nagisa Shiota, one of Class 3-E's most skilled assassins, finds himself in the middle of the conflict. While he works to maintain his academic standing and prevent the end of the world, domestic affairs jeopardize his place in Class 3-E. Together with his dedicated classmates, he must now face the threats head-on.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/8/77966l.jpg;Action, Comedy;8.47;25;https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
B - The Beginning;B: The Beginning;TMDB;"El regreso del genial investigador Keith Flick al cuerpo policial coincide con la aparición del asesino en serie ""B"". ¿Y quién es el joven Koku? ¿Un aliado o un objetivo?";https://image.tmdb.org/t/p/original/60Gpt5IQNj6jHqq6IdQiMs8RpXB.jpg;Action & Adventure, Animación, Drama, Crimen, Misterio, Sci-Fi & Fantasy;7.6;18;https://www.themoviedb.org/tv/77529
Baki;Baki;Jikan (MyAnimeList);After emerging victorious from a brutal underground tournament, Baki Hanma continues on his path to defeat his father, Yuujirou, the strongest man in the world. However, he gets no time to rest when the tournament runner, Tokugawa Mitsunari, visits him at school. He reveals to Baki that five incredibly dangerous death row inmates from around the world—all skilled in martial arts—have simultaneously escaped confinement and are heading to Tokyo, each wishing to finally know the taste of defeat. Tokugawa warns that, due to his well-known strength, Baki is bound to encounter them sooner or later, and he will not be their only target.  Adapting the first saga of the second manga series, Baki centers on the all-out war between the esteemed martial artists of Japan and those of the dark underground world.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1979/93135l.jpg;Sports;7.3;26;https://myanimelist.net/anime/34443/Baki
Baki Hanma vs Kengan Ashura [2024][1080p][2.86 Gb];Hanma Baki vs. Kengan Ashura;Jikan (MyAnimeList);A crossover anime movie between Hanma Baki and Kengan Ashura.;https://cdn.myanimelist.net/images/anime/1477/142881l.jpg;Action;6.41;1;https://myanimelist.net/anime/58510/Hanma_Baki_vs_Kengan_Ashura
Bakuten!! (Backflip!!);Bakuten!!;Jikan (MyAnimeList);Shoutarou Futaba has always loved sports, but he never became more than a benchwarmer on his middle school baseball team. After noticing a group of gymnasts practicing in the park, he decides to watch a rhythmic gymnastics tournament on a whim. Although displaying an exhilarating performance at the competition, the Shoushukan High School's Rhythmic Gymnastics Club places second-to-last due to penalties acquired from not fielding a full six-man roster.   The demonstration of skill captivates Shoutarou, and he decides to enroll at Shoushukan in hopes of joining the team despite having no background in the sport. The club recruits him alongside Ryouya Misato, a prodigal gymnast who was the runner-up in a junior tournament.   Now with a full six-man roster, the team sets out to compete in the upcoming Inter-High tournament. As he strives to accomplish this ambitious endeavor, Shoutarou must learn and master the basics of rhythmic gymnastics all while working in tandem with his new teammates if Shoushukan wants to stand a chance at claiming the title.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1827/113510l.jpg;Sports;7.48;12;https://myanimelist.net/anime/43756/Bakuten
