Titulo;Anio;Sinopsis;Link_Imagen;Generos;Puntuacion_IMDb;Temporadas;Capitulos
Marvel - Daredevil;2015 - 2018;'Daredevil' es una serie cargada de acción que sigue las aventuras de Matt Murdock -abogado de día y superhéroe de noche- en el barrio de la ciudad de Nueva York conocido como Hell’s Kitchen. Matt quedó ciego tras un accidente de niño, pero ahora tiene los otros cuatro sentidos incrementados y se dedica a luchar contra la injusticia como el superhéroe Daredevil.;https://image.tmdb.org/t/p/original/zdjmPOMNlDpmqXLgNaGBT7jAiFj.jpg;Crimen, Drama, Action & Adventure;8.168;3;39
Marvel - Iron Fist;2017 - 2018;Danny Rand reaparece 15 años después de ser dado por muerto. Ahora, armado con un increíble poder, tratará de recuperar su pasado y cumplir su destino.;https://image.tmdb.org/t/p/original/ywrvjIgK5K9Ff8RddgdFI3kfDqT.jpg;Action & Adventure, Drama, Sci-Fi & Fantasy;6.5;2;23
Marvel - Jessica Jones;2015 - 2019;Jessica Jones, es una serie de televisión estadounidense creada por Netflix y basada en el personaje del mismo nombre de los cómics de Marvel. Una mujer con superpoderes decide renegar de ellos e iniciar una vida nueva ejerciendo como detective privada.;https://image.tmdb.org/t/p/original/b3EVT7sSX8Y8L3OekYWyKLRS1Jt.jpg;Sci-Fi & Fantasy, Drama;7.479;3;39
Marvel - Luke Cage;2016 - 2018;Un expresidiario encapuchado y de piel impenetrable lucha por limpiar su nombre y salvar su barrio. Él no buscaba pelea, pero la gente necesita un héroe.;https://image.tmdb.org/t/p/original/yzM1hMB3PUJqbISX0f421b3xOjB.jpg;Drama, Action & Adventure, Crimen;6.921;2;26
Marvel - The Defenders;2017 - 2017;Daredevil, Jessica Jones, Luke Cage e Iron Fist unen fuerzas para enfrentarse a sus enemigos comunes mientras una siniestra conspiración amenaza Nueva York.;https://image.tmdb.org/t/p/original/49XzINhH4LFsgz7cx6TOPcHUJUL.jpg;Sci-Fi & Fantasy, Action & Adventure, Crimen;7.1;1;8
Marvel - The Punisher;2017 - 2019;Un antiguo marine decidido a castigar a los asesinos de su familia termina atrapado en una conspiración militar.;https://image.tmdb.org/t/p/original/8OdIbo68mFE4w6jXA20aL8ocPsE.jpg;Action & Adventure, Crimen, Drama;8.15;2;26
Marvel Agentes de S.H.I.E.L.D.;2013 - 2020;"El agente Phil Coulson, de la película ""Los vengadores"", regresa para liderar a un pequeño grupo de agentes altamente capacitados en el campo.";https://image.tmdb.org/t/p/original/dW0qrzdW0XaxuK8hCVXLOh9H0Hl.jpg;Drama, Sci-Fi & Fantasy, Action & Adventure;7.476;7;136
Agente Carter;2015 - 2016;1946. La paz ha significado un revés para la agente Carter al verse marginada cuando los hombres vuelven del extranjero. Trabajando como agente secreta en la R.C.E., Peggy se ve haciendo trabajo administrativo cuando preferiría pasar a la acción y luchar contra los malos. Al mismo tiempo, busca la manera de apañárselas como mujer soltera tras haber perdido al amor de su vida, Steve Rogers. Cuando un viejo amigo, Howard Stark, es acusado injustamente de vender sus armas más letales, se pone en contacto con Peggy para encontrar a los responsables y limpiar su nombre.;https://image.tmdb.org/t/p/original/scZsg0rfAyH8ADphzrdhgo5jAXd.jpg;Drama, Sci-Fi & Fantasy;7.5;2;18
King George and Queen Mary: The Royals Who Rescued the Monarchy;2012 - 2012;;https://image.tmdb.org/t/p/original/pJh0yn9TsIZhxDe77UeHbRMo1Mm.jpg;Documental;0.0;1;2
Más Allá de Tí;2023 - 2023;Amy (Ariadne Díaz), es una expolicía latina que quiere lo mejor para su hijo y, tras el encarcelamiento de su esposo, se da a la tarea de demostrar que él es inocente. Para lograrlo necesitará la ayuda de un político poderoso llamado David (Sebastián Rulli).;https://image.tmdb.org/t/p/original/lAaCTmYNwJDRD3DRUlXGe70grs1.jpg;Drama, Crimen, Misterio;7.0;1;8
Impostura;2025 - 2025;Una comedia de universitarios sobre el caótico viaje de Benny, que todavía está en el armario, que enseguida se hace amigo de Carmen, una marginada que quiere encajar a toda costa. Muy divertida e íntima, la serie explora la forma en que todos forzamos nuestro comportamiento en el camino de descubrir quiénes somos en realidad.;https://image.tmdb.org/t/p/original/mdpHVK0tOGM2rZMwDfjDd9iwSxg.jpg;Comedia;7.3;1;8
Maestros del terror;2005 - 2007;Masters of Horror (también conocida como Maestros del terror) es una serie de televisión estadounidense creada por Mick Garris para Showtime. Consta de dos temporadas, la serie se estrenó el 28 de octubre del año 2005 y finalizó con su episodio número 26 el 2 de febrero de 2007. Cada semana se mostraba una película de una hora de duración dirigida por célebres directores del género del terror. No siguen ningún formato, cada capítulo es una historia que no tiene relación con las otras. Dado su carácter individual cada episodio puede ser votado por separado quedando esta ficha para una valoración global de la serie.;https://image.tmdb.org/t/p/original/vgTy1Lfi5P1yD7ZvsuoPKYvxwzv.jpg;Drama, Misterio, Crimen, Sci-Fi & Fantasy;7.133;2;25
Los amos del aire;2024 - 2024;Durante la Segunda Guerra Mundial, muchos aviadores arriesgan sus vidas en el Grupo de bombarderos número 100, una hermandad forjada por el valor, la pérdida y el triunfo.;https://image.tmdb.org/t/p/original/pHTOwJIUN1L4h8sACkpkthy01ei.jpg;Drama, War & Politics;7.781;1;9
Maxton Hall: Un mundo entre nosotros;2024 - 2025;Ruby Bell, una estudiante becada, se convierte en testigo de un secreto explosivo en la escuela privada de Maxton Hall. Este inconveniente hará que James Beaufort, un heredero millonario tremendamente arrogante, se vea obligado a lidiar con ella. Y es que para bien o para mal, James está decidido a silenciarla, pero su enfrentamiento enciende una chispa inesperada entre ambos.;https://image.tmdb.org/t/p/original/zFiAQUrWfD0xdQzyMLDEqsKIHVQ.jpg;Drama;8.265;3;12
Mayans M.C.;2018 - 2023;"Ambientada después de Sons of Anarchy, Mayans MC se enfoca en las luchas de Ezekiel ""EZ"" Reyes, un prospecto en la carta de MC Maya en la frontera de California / México. EZ es el hijo dotado de una orgullosa familia latina, cuyo sueño americano fue sofocado por la violencia del cártel. Ahora, su necesidad de venganza lo conduce hacia una vida que nunca tuvo la intención y de la que nunca podrá escapar.";https://image.tmdb.org/t/p/original/510A0upV9WRAynEgs1E2B3eBxi5.jpg;Crimen, Drama;7.984;5;50
Las brujas de Mayfair;2023 - 2025;Basada en la trilogía superventas de Anne Rice, se centra en Rowan Mayfair, una joven e intuitiva neurocirujana que descubre que es la heredera de una familia de brujas. Mientras lidia con sus nuevos poderes, deberá enfrentarse a una presencia siniestra que ha perseguido a su familia durante generaciones.;https://image.tmdb.org/t/p/original/iRM12uCbKq5BONNERukJWzZv1pE.jpg;Drama, Sci-Fi & Fantasy;7.268;2;16
Mayor of Kingstown;2021 - 2025;Ambientada en una pequeña ciudad de Michigan donde la única industria que queda son las cárceles federales, estatales y privadas, la historia sigue a la familia McClusky, los intermediarios del poder entre la policía, los delincuentes, los presos, los guardias de prisiones y los políticos, en una ciudad completamente dependiente de las prisiones.  y los prisioneros que contienen.;https://image.tmdb.org/t/p/original/6rWIip9MZELAA0SKii5WqsBDCYW.jpg;Drama, Crimen;7.919;4;40
McGregor Forever;2023 - 2023;El luchador Conor McGregor se convirtió en la principal atracción de la UFC por sus golpes brutales y su chulería. Esta fascinante serie documental muestra su agitada carrera.;https://image.tmdb.org/t/p/original/8vjMXey1TDjtXMTzxxG8c0GHvgr.jpg;Documental;7.464;1;4
Me late que sí;2025 - 2025;Un hombre común, desesperado y harto de su mala fortuna, reúne a un grupo de inadaptados para intentar lo imposible: robar el premio de la lotería en directo.;https://image.tmdb.org/t/p/original/snnfulxgcvVdBx3olwiUGpG0var.jpg;Drama, Comedia;7.8;1;6
