Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Puntuacion;Duracion_min;URL_Externa
(500) Days of Summer [2009][1080p][4.24 Gb];(500) días juntos;TMDB;2009;Tom aún sigue creyendo, incluso en este cínico mundo moderno, en la noción de un amor transformador, predestinado por el cosmos y que golpea como un rayo sólo una vez. Summer no cree lo mismo, para nada. La mecha se enciende desde el primer día, cuando Tom, un arquitecto en ciernes convertido en un sensiblero escritor de tarjetas de felicitación, se encuentra con Summer, la bella y fresca nueva secretaria de su jefe. Aunque aparentemente está fuera de su alcance, Tom pronto descubre que tienen un montón de cosas en común. La historia de Tom y Summer cubre desde el enamoramiento, las citas y el sexo hasta la separación, las recriminaciones y la redención, todo lo cual se suma al caleidoscópico retrato del por qué y el cómo seguimos esforzándonos de modo tan risible y rastrero para encontrar sentido al amor… y esperar convertirlo en realidad.;https://image.tmdb.org/t/p/original/xziurNdvxWZkgonZ5ZaGRB9YdLt.jpg;Comedia, Drama, Romance;7.301;95;https://www.themoviedb.org/movie/19913
¿Quién es quién [2021][720p][1.40 Gb];¿Quién es quién?;TMDB;2021;Una mañana, los Morel se despiertan con un gran problema. ¡Descubren que sus mentes se han intercambiado y que cada uno de ellos está atrapado en el cuerpo de otro miembro de la familia! Chacha, de 6 años, está en el cuerpo del padre, el padre en el cuerpo de su hijo adolescente, el hijo en el cuerpo de la hermana mayor, la hermana mayor en el cuerpo de la madre y la madre en el cuerpo de Chacha... ¿Te has perdido? Ellos también. Y esto es solo el principio.;https://image.tmdb.org/t/p/original/31HE6Hba1pX1SjPWtQzdswWaCaM.jpg;Comedia, Fantasía;5.94;92;https://www.themoviedb.org/movie/606236
007 - Casino Royale [1967][1080p][3.3 Gb];Casino Royale;TMDB;1967;James Bond, en su dorado retiro, se deja convencer por una delegación de las grandes potencias para participar en una investigación sobre la SMERSH, una misteriosa organización internacional que pretende acabar con la estabilidad mundial.;https://image.tmdb.org/t/p/original/5mXtdNHRv3rckWq9KkZ0Qf2ng5v.jpg;Aventura, Acción, Comedia;5.3;131;https://www.themoviedb.org/movie/12208
007 - No Time to Die [2021][1080p][3 32 Gb];Sin tiempo para morir;TMDB;2021;James Bond se encuentra disfrutando de unas merecidas vacaciones en Jamaica. Sin embargo, su paz termina cuando su amigo de la CIA, Felix Leiter, lo busca para una nueva misión que implica rescatar a un importante científico que ha sido secuestrado.;https://image.tmdb.org/t/p/original/4yk2270JA6QpnN8xkuRsnPVXgdP.jpg;Acción, Suspense, Aventura;7.341;163;https://www.themoviedb.org/movie/370172
007 - Quantum [2008][1080p][3 Gb];Quantum of Solace;TMDB;2008;Traicionado por Vesper, la mujer a la que amaba, 007 se plantea su nueva misión como algo personal. Durante su investigación, Bond y M interrogan a Mr. White, que les revela que la organización que chantajeó a Vesper es mucho más compleja y peligrosa de lo que imaginan. El servicio de inteligencia forense vincula a un traidor del Mi6 con una cuenta bancaria en Haití, donde Bond conoce a la bella pero combativa Camille, una mujer que tiene sus propios motivos para vengarse. Gracias a Camille, Bond descubre la existencia de Dominic Greene, despiadado hombre de negocios y miembro importante de la misteriosa organización.;https://image.tmdb.org/t/p/original/zXkvsMkHbvFT9FMw7U9df0ZDuhb.jpg;Aventura, Acción, Suspense;6.337;106;https://www.themoviedb.org/movie/10764
007 - Spectre [2015][1080p][4,10 Gb];Spectre;TMDB;2015;Un críptico mensaje del pasado envía a James Bond a una misión secreta a México D.F. y luego a Roma, donde conoce a Lucía Sciarra, la hermosa viuda de un infame criminal. Bond se infiltra en una reunión secreta y descubre la existencia de una siniestra organización conocida como SPECTRE. Mientras tanto, en Londres, el nuevo director del Centro para la Seguridad Nacional cuestiona las acciones de Bond y pone en duda la importancia del MI6, encabezado por M. De modo encubierto Bond recluta a Moneypenny y Q para que le ayuden a buscar a Madeleine Swann, la hija de su antiguo archienemigo, el Sr. White, que quizá tenga la clave para desentrañar el misterio de SPECTRE. A medida que Bond avanza en su misión, descubre una estremecedora conexión entre él mismo y el enemigo que busca.;https://image.tmdb.org/t/p/original/8NCrCV6tR0Uafp8eVYiZbRsvrAv.jpg;Acción, Aventura, Suspense;6.6;148;https://www.themoviedb.org/movie/206647
10 Things I Hate about You [1999][1080p][3.77 Gb];10 razones para odiarte;TMDB;1999;"Las hermanas Stratford son muy distintas. La guapa y popular Bianca nunca ha salido con un chico, y Kat, su hermana mayor, es una bruja con muy mal genio, y algo arisca, que se ha propuesto rechazar a cualquier chico que demuestre el más mínimo interés por ella. Desgraciadamente, el estricto reglamento que rige el hogar de los Stratford prohibe a Blanca tener novio hasta que su insoportable hermana tenga uno; situación que parece más que improbable teniendo en cuenta que Kat lleva una vida social desastrosa. Blanca está desesperada por ir al baile de fin de curso. Pero su pretendiente, Cameron, guarda una sorpresa...";https://image.tmdb.org/t/p/original/ugSquUOt4U0a6xsgWUiOZcr5plz.jpg;Comedia, Romance, Drama;7.594;97;https://www.themoviedb.org/movie/4951
100 Metros [2016][1080p][3.95 Gb];100 metros;TMDB;2016;Ramón Arroyo es un empresario de éxito y un padre de familia que quisiera pasar más tiempo con su mujer e hijo. Cuando su suegro, viudo y amargado, se instala en su casa, él empieza a usar el trabajo como válvula de escape. Pero entonces es diagnosticado con esclerosis múltiple y pronto no podrá caminar ni 100 metros. Ramón intenta ignorar la realidad, y acaba asilándose del mundo… Hasta el nacimiento de su segundo hijo. Con la llegada del pequeño se propone seguir luchando y por eso toma la decisión de acabar la prueba atlética más dura del mundo: el ironman.;https://image.tmdb.org/t/p/original/3tSFaWi4CGnwBMYD429ocKVeoIM.jpg;Comedia, Drama;7.379;109;https://www.themoviedb.org/movie/402693
101 Dalmatas [1996][1080p][3.7 Gb];101 dálmatas;TMDB;1961;Pongo y Perdita, los dalmatas protagonistas, son una feliz pareja canina que vive rodeada de sus cachorros junto a sus amos, Roger y Anita. Pero la felicidad no es eterna y hay una malvada mujer, que vive en una gran mansion, que es la mayor enemiga del perro.Cuando se entera de que los protagonistas tienen nada menos que quince cachorros dalmatas, su sueño de obtener un exclusivo abrigo de piel de los pequeños perros, se convierte en una obsesion. Para conseguirlo contrata a dos ladrones y pone en marcha un malvado plan con el unico fin de secuestrar a los dalmatas.;https://image.tmdb.org/t/p/original/2Bt5iwJ0bMPWgIMBVTJPtI7onbe.jpg;Aventura, Animación, Comedia, Familia;7.175;79;https://www.themoviedb.org/movie/12230
102 Dalmatas [2000][1080p][3.6 Gb];102 dálmatas;TMDB;2000;Tres años después de que Cruella De Vil fue arrestada, ella sale muy mejorada gracias a un tratamiento de choque mediante relojes y campanadas. Le conceden la libertad condicional, pero su agente, Chloe Simmons, no está muy segura de las acciones de Cruella. Mientras, Cruella, paga con su dinero la cuantiosa suma que necesita una perrera dirigida por Kevin Sheperd. En una visita a su agente Cruella oye las campanas del Big Ben de Londres, lo cual, desestabiliza su mente y con la ayuda de Alonzo, su mayordomo, saca sus pieles del olvido y también su interés por los perros dálmata. Se alía con el peletero francés Jean-Pierre Le Pelt, para crear un abrigo de dálmata perfecto y viajan a Francia para ello. Pero en Francia y con la ayuda de Alonzo, Chloe y Kevin, la policía captura a los diseñadores y vuelven a la cárcel y mientras tanto un perrito de los 102 se va por una aventura.;https://image.tmdb.org/t/p/original/cwF2aov9zwUhu9abu5fz6lS3kG2.jpg;Familia, Comedia;5.512;100;https://www.themoviedb.org/movie/10481
10x10 [2018][1080p][2.7 Gb];10x10;TMDB;2018;Lewis es un tipo aparentemente normal, pero en realidad está ocultando una obsesión, una venganza contra Cathy. Lewis secuestra a Cathy a plena luz del día y la lleva a su casa, donde la encierra en una celda insonorizada e intenta extraer un oscuro secreto de su pasado.;https://image.tmdb.org/t/p/original/ysyXA46FXVI38f11mNBoc5ZbYRj.jpg;Suspense, Misterio;5.238;88;https://www.themoviedb.org/movie/505177
12 Feet Deep [2017][1080p][1.30 Gb];A 3 metros y medio;TMDB;2018;Dos hermanas están atrapadas bajo la cubierta de fibra de vidrio de una piscina pública de tamaño olímpico y deben afrontar el frío para sobrevivir a la desgarradora noche.;https://image.tmdb.org/t/p/original/kV0vOPTs9ASsKZ81ZRCt2xbdSaG.jpg;Suspense, Terror;6.008;80;https://www.themoviedb.org/movie/459928
12 Horas para el Fin del Mundo (Mira)[2022][1080p][2.94 Gb];Sin señal;TMDB;2022;"Futuro cercano. Lera Arabova es una niña de 15 años que vive con su familia en Vladivostok. El padre de Lera ha estado trabajando en la estación espacial en órbita ""Mira"" durante muchos años y durante mucho tiempo perdió el contacto con su hija, convirtiéndose solo en una voz en el teléfono. Después de que una lluvia de meteoritos golpee la ciudad, Lera solo tiene una oportunidad de salvar a sus seres queridos y a la ciudad de un nuevo desastre. Su padre la ayuda en esto: a través de los sistemas de vigilancia satelital y el teléfono, aprovecha cada oportunidad para enviar un mensaje a su hija, observando desde arriba desde la estación cada paso.";https://image.tmdb.org/t/p/original/g1g6hCYtuRuf9ZJISDmCKjXffSs.jpg;Ciencia ficción, Drama, Aventura, Familia;7.477;110;https://www.themoviedb.org/movie/864101
12 Men of Christmas [2009][1080p][1.71 Gb];12 hombres para navidad;TMDB;2009;Una gran publicista de Nueva York, se encuentra en Montana promocionando un calendario de caridad después de haber sido traicionada por su jefe y prometido. Por desgracia, los asuntos del corazón son tan complicados en la selva como en la gran ciudad.;https://image.tmdb.org/t/p/original/qTYw3FkCYLj1OaIgxfu3B8eD77J.jpg;Comedia, Romance, Película de TV;5.1;95;https://www.themoviedb.org/movie/42556
12 Years a Slave [2013][1080p][3.28 Gb];12 años de esclavitud;TMDB;2013;Basada en un hecho real ocurrido en 1850, narra la historia de Solomon Northup, un culto músico negro -y hombre libre- que vivía con su familia en Nueva York. Tras compartir una copa con dos desconocidos, Solomon descubre que ha sido drogado y secuestrado para ser vendido como esclavo en el Sur en una plantación de Louisiana. Renunciando a abandonar la esperanza, Solomon contempla cómo todos a su alrededor sucumben a la violencia, al abuso emocional y a la desesperanza. Entonces decide correr riesgos increíbles y confiar en la gente menos aparente para intentar recuperar su libertad y reunirse con su familia.;https://image.tmdb.org/t/p/original/1OoCd3fmjPHt9iCR4QxNGGrDyI0.jpg;Drama, Historia;7.931;133;https://www.themoviedb.org/movie/76203
127 Hours [2010][1080p][3.28 Gb];127 horas;TMDB;2010;Basada en la historia real de Aron Ralston, un intrépido montañero norteamericano tristemente famoso porque en mayo de 2003, durante una escalada, en Utah, sufrió una caída. Tras varios días inmovilizado e incapaz de encontrar una solución, tuvo que tomar una dramática decisión.;https://image.tmdb.org/t/p/original/1XbNkZMLXD9dYGZJ87nmQ62Mp2l.jpg;Aventura, Drama, Suspense;7.089;94;https://www.themoviedb.org/movie/44115
13 Assassins [2010][1080p][4.31 Gb];13 asesinos;TMDB;2010;El ascenso al poder del joven y sanguinario Lord Naritsugu supone una seria amenaza para la paz en el Japón feudal. Simplemente por ser el hermano del shogun, Lord Naritsugu está por encima de la ley, y asesina y viola a su antojo. Afligido por la masacre perpetrada por el sádico Naritsugu, el oficial Sir Doi contacta secretamente con el samurái Shinzaemon Shimada para acabar con Naritsugu. El noble samurái, indignado por la crueldad de Naritsugu, acepta de buen grado la peligrosa misión. Para ello, reúne a un selecto grupo de samuráis, entre los que se encuentra su sobrino Shinrokuro y el devoto aprendiz Hirayama. Juntos, traman una emboscada para atrapar a Lord Naritsugu. Shinzaemon es consciente del peligro que conlleva. Naritsugu va escoltado por una comitiva encabezada por el letal e implacable Hanbei, uno de sus antiguos rivales. Los “13 asesinos” de Takashi Miike es un remake del film homónimo dirigido por Eichi Kudo en 1963.;https://image.tmdb.org/t/p/original/aiKnZ7KNcpWBjFHudImi9RB3hqY.jpg;Aventura, Drama, Acción;7.305;126;https://www.themoviedb.org/movie/58857
13 going on 30 [2004][1080p][3 6 Gb];El sueño de mi vida;TMDB;2004;Lo único que desea Jenna Rink en su décimotercer cumpleaños es ser guapa y popular. Tras una experiencia humillante delante del chico más guay de la escuela, Jenna desea fervientemente tener una nueva vida. Milagrosamente su deseo se hace realidad: de la noche a la mañana pasan 17 años y ella despierta convertida en una mujer de treinta.;https://image.tmdb.org/t/p/original/sgiY4CxDEFDcCfsLWLqLr4ezs6n.jpg;Comedia, Fantasía, Romance;6.774;98;https://www.themoviedb.org/movie/10096
13 Hours- The Secret Soldiers of Benghazi [2016][1080p][2.77 Gb];13 horas. Los soldados secretos de Bengasi;TMDB;2016;El 11 de septiembre de 2012, en el aniversario de los ataques terroristas a las Torres Gemelas y al Pentágono, un grupo de milicianos islamistas atentaron contra el consulado estadounidense y un anexo cercano de la CIA en Bengasi, Libia. Un equipo de seis miembros de Operaciones Especiales de Estados Unidos fue enviado para rescatar a los supervivientes.;https://image.tmdb.org/t/p/original/uRBj8FbGfub5JVXWqXCmLMNUQNX.jpg;Bélica, Acción, Historia, Drama, Suspense;7.275;144;https://www.themoviedb.org/movie/300671
16 Wishes [2010][720p][1.17 Gb];16 deseos;TMDB;2010;Ansiosa por hacerse mayor, Abby ha estado planeando su decimosexto cumpleaños desde que era niña y ha mantenido en secreto una lista de deseos que le gustaría que se hiciesen realidad. Cuando el gran día finalmente llega, todo parece salir mal. Pero entonces una misteriosa caja de velas de cumpleaños mágicas llega para cambiar las cosas y los 16 deseos de Abby empiezan a hacerse realidad.;https://image.tmdb.org/t/p/original/wTfVsrhVLOxlYsJmShtF2jceheB.jpg;Fantasía, Drama, Familia;6.317;90;https://www.themoviedb.org/movie/40205
1898, Our Last Men in the Philippines [2016][1080p][2.37 Gb];1898. Los últimos de Filipinas;TMDB;2016;"A finales del siglo XIX, en la colonia española de Filipinas, un destacamento español fue sitiado en el pueblo de Baler, en la isla filipina de Luzón, por insurrectos filipinos revolucionarios, durante 337 días. En diciembre de 1898, con la firma del Tratado de París entre España y Estados Unidos, se ponía fin formalmente a la guerra entre ambos países y España cedía la soberanía sobre Filipinas a Estados Unidos. Debido a esto, los sitiados en Baler son conocidos como ""los últimos de Filipinas"".";https://image.tmdb.org/t/p/original/f0j68TWyH44vPGP9RoHiZegv4LO.jpg;Bélica, Drama, Historia;6.5;135;https://www.themoviedb.org/movie/403357
1917 [2019][720p][930 Mb];1917 Val Duchesse;TMDB;1917;;;;0.0;19;https://www.themoviedb.org/movie/477544
2 Hearts [2020][1080p][1.24 Gb];2 corazones;TMDB;2020;Para dos parejas, el futuro se desarrolla en diferentes décadas y diferentes lugares, pero una conexión oculta los unirá de una manera que nadie podría haber predicho.;https://image.tmdb.org/t/p/original/mJdNTVnnthus44WQIayAViFqcuP.jpg;Romance, Drama;7.245;100;https://www.themoviedb.org/movie/710356
20,000 Leagues Under the Sea [1954][1080p][4.13 Gb];20.000 leguas de viaje submarino;TMDB;1954;"Adaptación de la novela homónima de Julio Verne. En 1870, debido a los relatos de marineros que aseguran haber visto un monstruo marino al sur del Pacífico, los Estados Unidos fletan un buque de guerra para destruir a la bestia que altera la tranquilidad de los mares. Pero, cuando el monstruo los ataca, de nada sirve todo su poderío bélico para evitar el desastre. Tras el hundimiento del buque, los tripulantes son rescatados por el propio ""monstruo"", que resulta ser un buque capaz de sumergirse en el mar, algo inédito hasta entonces.";https://image.tmdb.org/t/p/original/zxsZrugzqLcrBYQRprI4Be89E4R.jpg;Aventura, Ciencia ficción, Fantasía;7.1;127;https://www.themoviedb.org/movie/173
20.000 especies de abejas [2023][720p][1.96 Gb];20.000 especies de abejas;TMDB;2023;Cocó, de ocho años, no encaja en las expectativas del resto y no entiende por qué. Todos a su alrededor insisten en llamarle Aitor pero no se reconoce en ese nombre ni en la mirada de los demás. Su madre Ane, sumida en una crisis profesional y sentimental, aprovechará las vacaciones para viajar con sus tres hijos a la casa materna, donde reside su madre Lita y su tía Lourdes, estrechamente ligada a la cría de abejas y la producción de miel. Este verano que cambiará sus vidas obligará a estas mujeres de tres generaciones muy distintas a enfrentarse a sus dudas y temores. Y sobre todo, a Ane a por fin ser honesta consiga misma.;https://image.tmdb.org/t/p/original/xsmddONe1QoHaMQS8ilyKA9OPtr.jpg;Drama;7.07;127;https://www.themoviedb.org/movie/1053600
21 & Over [2013][1080p][1.15 Gb];Infiltrados en clase;TMDB;2012;Dos jóvenes agentes de la ley se hacen pasar por alumnos de instituto para desarticular una red de narcotráfico. Schmidt y Jenko fueron enemigos en el colegio pero, cuando años más tarde se reencuentran en la academia de policía, terminan haciéndose amigos. Puede que no sean los mejores agentes, pero les llega su gran oportunidad de demostrar lo que valen cuando se unen a la unidad de la policía secreta Jump Street, comandada por el capitán Dickson. Entonces cambian sus armas e insignias por las mochilas y utilizan su apariencia juvenil para infiltrarse en un instituto. El problema es que los jóvenes de hoy no se parecen en nada a los de años atrás, y Schmidt y Jenko descubren que todo lo que creían saber sobre la adolescencia, el sexo, las drogas y el rock and roll era completamente erróneo.;https://image.tmdb.org/t/p/original/wnznvBLkpin6L8D4plfAS8EbJx3.jpg;Acción, Comedia, Crimen;6.886;109;https://www.themoviedb.org/movie/64688
21 Jump Street [2012][1080P][1.79 Gb];Infiltrados en clase;TMDB;2012;Dos jóvenes agentes de la ley se hacen pasar por alumnos de instituto para desarticular una red de narcotráfico. Schmidt y Jenko fueron enemigos en el colegio pero, cuando años más tarde se reencuentran en la academia de policía, terminan haciéndose amigos. Puede que no sean los mejores agentes, pero les llega su gran oportunidad de demostrar lo que valen cuando se unen a la unidad de la policía secreta Jump Street, comandada por el capitán Dickson. Entonces cambian sus armas e insignias por las mochilas y utilizan su apariencia juvenil para infiltrarse en un instituto. El problema es que los jóvenes de hoy no se parecen en nada a los de años atrás, y Schmidt y Jenko descubren que todo lo que creían saber sobre la adolescencia, el sexo, las drogas y el rock and roll era completamente erróneo.;https://image.tmdb.org/t/p/original/wnznvBLkpin6L8D4plfAS8EbJx3.jpg;Acción, Comedia, Crimen;6.886;109;https://www.themoviedb.org/movie/64688
22 Jump Street [2014][1080p][2 Gb];Infiltrados en la universidad;TMDB;2014;La pareja de policías formada por Schmidt y Jenko vuelve a la carga después del éxito de la operación contra la red de narcotraficantes en el instituto. En esta ocasión, los agentes de la ley siguen perteneciendo a la unidad secreta Jump Street y tendrán que infiltrarse en una universidad para llevar a cabo una arriesgada investigación. Una nueva aventura que pondrá a prueba al dúo cada vez mejor compenetrado.;https://image.tmdb.org/t/p/original/yp172JRxaJaRkSyjLO3R9B3tJZJ.jpg;Crimen, Comedia, Acción;6.827;120;https://www.themoviedb.org/movie/187017
25th Hour [2002][1080p][4.15 Gb];La última noche;TMDB;2002;Empieza la cuenta atrás: Monty Brogan está a punto de perder la libertad. En tan sólo 24 horas deberá entrar en prisión, donde pasará siete interminables años. Monty, el que fue en su día el rey de Manhattan, tendrá que decir adiós a las luces de los flashes, a sus sueños de grandeza y al único tren de vida que conoce, una vida que le abrió las puertas de los clubes más elegantes de Nueva York pero que también lo alejó de las personas que más lo querían.;https://image.tmdb.org/t/p/original/9rSCPAEJ35BK5YbK5Asr0JkjB5n.jpg;Crimen, Drama;7.317;135;https://www.themoviedb.org/movie/1429
27 Dresses [2008][1080p][1.43 Gb];27 vestidos;TMDB;2008;Jane, la eterna dama de honor –lo ha sido hasta 27 veces– pero nunca la novia, debe hacer frente a su peor pesadilla cuando su hermana se compromete con el hombre de sus sueños. A Jane le encanta acudir a bodas y ayudar a la novia en su día más especial. Está enamorada de su jefe, pero el día que se decide a confesarle su amor, su atractiva y caprichosa hermana, a la que siempre ha cuidado, entra en escena.;https://image.tmdb.org/t/p/original/4u1KKBa7kQzxPgl51rGWSPlT1Ws.jpg;Comedia, Romance;6.453;111;https://www.themoviedb.org/movie/6557
28 Days Later [2002][1080p][4.1 Gb];28 días después;TMDB;2002;Londres es un cementerio. Las calles están ahora desiertas. Reina un silencio total. Tras la propagación de un virus que acabó con la mayor parte de la población, tuvo lugar la invasión de unos seres terroríficos. El virus se difundió, tras la incursión en un laboratorio, de un grupo de defensores de los derechos de los animales. Transmitido por la sangre, el virus produce efectos devastadores. En 28 días la epidemia se extiende por todo el país y sólo queda un puñado de supervivientes...;https://image.tmdb.org/t/p/original/sIGsLU7hMDVKhGKsRFcFxUAtFyT.jpg;Terror, Suspense, Ciencia ficción;7.243;113;https://www.themoviedb.org/movie/170
28 Weeks Later [2007][1080p][4.2 Gb];28 semanas después;TMDB;2007;Seis meses después de que la propagación del virus haya aniquilado las Islas Británicas, el ejército de los Estados Unidos declara que ha ganado la guerra contra la infección y que puede comenzar la reconstrucción del país. Con la primera ola de refugiados que vuelve al país, una familia consigue reencontrarse. Pero uno de los miembros guarda un terrible secreto sin ser consciente de ello. El virus aún no ha sido destruido y en esta ocasión, es más peligroso que nunca.;https://image.tmdb.org/t/p/original/8PJEQ63WebiLJ4vtuyXx68Jehmh.jpg;Terror, Suspense, Ciencia ficción;6.606;96;https://www.themoviedb.org/movie/1562
28 Years Later [2025][1080p][3.9 Gb];28 años después;TMDB;2025;"Años transcurridos tras los sucesos de ""28 semanas después"", el virus de la ira ha regresado y un grupo de supervivientes debe sobrevivir en un mundo asolado por hordas de infectados. Realizada con un iPhone 15 Pro Max y con la ayuda de numerosos accesorios especializados.";https://image.tmdb.org/t/p/original/rlqdMZRPK8IELWcI5cJXLoA18XW.jpg;Terror, Suspense, Ciencia ficción;6.617;115;https://www.themoviedb.org/movie/1100988
3.10 to Yuma [2007][1080p][2.60 Gb];El tren de las 3:10;TMDB;2007;"Remake del film de 1957 ""El Tren de las 3:10"", de Delmer Daves. Dan Evans es un típico ranchero de un pueblo de Arizona y veterano de la Guerra de Secesión que, para aliviar sus penurias económicas, decide escoltar al peligroso forajido Ben Wade mientras llega el tren que tiene que llevarlo ante la justicia. Pero no todo saldrá bien y la violencia no tardará en aparecer: durante ese tiempo se inicia una dramática lucha psicológica entre ambos hombres mientras las compañeros del forajido intentan liberarle.";https://image.tmdb.org/t/p/original/etmnvALqhRmG8oa061VUODSUiwK.jpg;Western;7.229;117;https://www.themoviedb.org/movie/5176
300 - Rise of an Empire [2014][1080p][2 69 Gb];300: El origen de un imperio;TMDB;2014;La historia se ambienta en el año 490 a.C., unos diez años antes de la batalla de las Termópilas. El general griego Temistocles intenta unir las polis griegas para combatir a los persas invasores. Él dirigirá las tropas griegas que se enfrentarán con los persas en la decisiva batalla de Maratón. La derrota persa impedirá la invasión del país.;https://image.tmdb.org/t/p/original/cbt5wY4rCe63JBmNYnJytJpFhnm.jpg;Acción, Drama, Bélica;6.118;102;https://www.themoviedb.org/movie/53182
300 [2006][1080p][4 Gb];300;TMDB;2007;Adaptación del cómic de Frank Miller (autor del cómic 'Sin City') sobre la famosa batalla de las Termópilas (480 a.C.). El objetivo de Jerjes, emperador de Persia, era la conquista de Grecia, lo que desencadenó las Guerras Médicas. Dada la gravedad de la situación, el rey Leónidas de Esparta (Gerard Butler) y 300 espartanos se enfrentaron a un ejército persa que era inmensamente superior.;https://image.tmdb.org/t/p/original/h7Lcio0c9ohxPhSZg42eTlKIVVY.jpg;Acción, Aventura, Bélica;7.199;117;https://www.themoviedb.org/movie/1271
365 Days - The Next [2022][1080p][2.52 Gb];365 días más;TMDB;2022;La relación de Laura y Massimo pende de un hilo mientras intentan superar los problemas de confianza y los celos, mientras que un tenaz Nacho trabaja para separarlos.;https://image.tmdb.org/t/p/original/dvKpJZUxI1Rsgvrl8HHv62CpBBh.jpg;Romance, Drama;6.379;112;https://www.themoviedb.org/movie/829560
365 Days - This Day [2022][1080p][2.36 Gb];365 días: Aquel día;TMDB;2022;Laura y Massimo vuelven más fuertes que nunca, pero las ataduras familiares de Massimo y un misterioso hombre que quiere conquistar a Laura complican su relación.;https://image.tmdb.org/t/p/original/k3J2GdYxhR6U2RfsHZOsmHVKW7m.jpg;Romance, Drama;5.938;110;https://www.themoviedb.org/movie/829557
365 Days [2020][1080p][3.12 Gb];365 Days;TMDB;2020;;https://image.tmdb.org/t/p/original/ap8pBWU5601uAQFoGWwurEo7Ugy.jpg;Romance;10.0;114;https://www.themoviedb.org/movie/1689043
45 Years [2015][1080p][1.33 Gb];45 años;TMDB;2015;Falta sólo una semana para el 45º aniversario de la boda de Kate Mercer, y la planificación de la fiesta va por buen camino. Pero entonces llega una carta dirigida a su marido. En ella se notifica que ha aparecido muerto el cuerpo de su primer amor, congelado en los glaciares de hielo de los Alpes suizos.;https://image.tmdb.org/t/p/original/tbfO78zYSW6AxXUifpLsUbV1hkk.jpg;Drama, Romance;6.603;93;https://www.themoviedb.org/movie/311291
47 Meters Down - Uncaged [2019][1080p][3.2 Gb];A 47 metros: El terror emerge;TMDB;2019;"Esta secuela de ""A 47 Metros"" traslada la mortífera acción de los tiburones desde México a Brasil, y seguirá a un grupo de chicas en busca de aventuras en la costa de Recife. Con la esperanza de salir del rutinario sendero turístico, las chicas escuchan algo acerca de unas ruinas submarinas ocultas, pero descubren que bajo las olas turquesas su Atlantis secreta no está completamente deshabitada.";https://image.tmdb.org/t/p/original/ePCSbmpMsN2TcbSCqNC4GP92ixr.jpg;Terror, Suspense;5.709;90;https://www.themoviedb.org/movie/480105
47 Meters Down [2017][1080p][4 Gb];A 47 metros;TMDB;2017;Durante una inmersión, dos hermanas de vacaciones en México se quedan atrapadas en una jaula de avistamiento de tiburones, con el oxígeno agotándose y rodeadas de peligrosos tiburones blancos. Sin ayuda en la superficie, sin ayuda bajo la superficie.;https://image.tmdb.org/t/p/original/9XupsXE6vFjR8qvy6WaR46ScrIw.jpg;Terror, Suspense;5.805;87;https://www.themoviedb.org/movie/403119
47 Ronin [2013][720p][1.77 Gb];La leyenda del samurái (47 Ronin);TMDB;2013;Basada en una leyenda japonesa. Siglo XVIII. Kai (Keanu Reeves) es un paria que se une a Oishi (Hiroyuki Sanada), el jefe de los 47 Ronin. Su objetivo es vengarse del traidor que mató a su señor y los condenó al destierro. Para recuperar el honor perdido, los guerreros emprenden una aventura que les obligará a superar duras pruebas.;https://image.tmdb.org/t/p/original/8SR6ZXRh1gmuesCvcuuAiImnva5.jpg;Drama, Acción, Fantasía;6.205;118;https://www.themoviedb.org/movie/64686
57 Seconds [2023][1080p][1.66 Gb];57 Segundos;TMDB;2023;Cuando un blogger de tecnología consigue una entrevista con un gurú de la tecnología y detiene un ataque contra él, encuentra un anillo misterioso que lo transporta 57 segundos al pasado.;https://image.tmdb.org/t/p/original/rKpXTUo03vyZov4dCFqKx3QHuiA.jpg;Suspense, Ciencia ficción, Acción;6.145;99;https://www.themoviedb.org/movie/937249
6 Underground [2019][1080p][4.22 Gb];6 en la sombra;TMDB;2019;¿Cuál es la mejor parte de estar muerto? No se trata de escapar de tu jefe, de tu ex, de borrar tu historial criminal. La mejor parte de estar muerto es la libertad. Poder acabar con gente mala de verdad, sin tener que responder ante nadie. Liderados por el el enigmático Uno (Ryan Reynolds), seis individuos de distintas partes del mundo han sido elegidos no solo por su habilidad, sino por su deseo de eliminar su pasado para cambiar el futuro. Este equipo de justicieros, que han fingido su muerte, se dedican a desmantelar organizaciones criminales. Y es que, a pesar de estar muertos, harán historia.;https://image.tmdb.org/t/p/original/ug4XukdNLwD9Ygyw4V0L5DjoNAp.jpg;Acción, Comedia, Suspense;6.334;128;https://www.themoviedb.org/movie/509967
6 Years [2015][720p][600 Mb];6 Years;TMDB;2015;El amor de una pareja aparentemente ideal comienza a desmoronarse debido a circunstancias inesperadas que tornan su vida inestable y violenta, amenazando el futuro que siempre habían imaginado.;https://image.tmdb.org/t/p/original/dE9kVpWI2F5jI8LGWby5t7iFwXe.jpg;Romance, Drama;5.422;80;https://www.themoviedb.org/movie/323674
