Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Puntuacion;Duracion_min;URL_Externa
Baba Yaga Terror of the Dark Forest [2020][720p][905 Mb];Baba Yaga: El regreso del demonio;TMDB;2020;La joven familia que se mudó a un nuevo apartamento en las afueras de la ciudad. La niñera contratada por ellos para la hija recién nacida rápidamente ganó confianza. Sin embargo, el niño mayor, Egor, habla del comportamiento aterrador de una mujer, pero sus padres no le creen. Las cámaras de vigilancia instaladas por el padre para mayor comodidad solo confirman que todo está en orden. Entonces, un día, Egor, al regresar a casa, no encuentra rastro ni de la niñera ni de la hermana pequeña, y los padres están en un trance extraño y ni siquiera recuerdan que tuvieron una hija. Entonces Egor, junto con sus amigos, va en busca, durante la cual resulta que la niñera es un antiguo demonio eslavo, conocido popularmente como Baba Yaga.;https://image.tmdb.org/t/p/original/72r3FJH0Lv7M52lRcIhDy5wwkin.jpg;Terror;6.346;96;https://www.themoviedb.org/movie/575088
Baby Driver [2017][1080p][2.7 Gb];Baby Driver;TMDB;2017;Baby, un joven y talentoso conductor especializado en fugas, depende del ritmo de su banda sonora personal para ser el mejor en lo suyo. Cuando conoce a la chica de sus sueños, Baby ve una oportunidad de abandonar su vida criminal y realizar una huida limpia. Pero después de haber sido forzado a trabajar para un jefe del crimen, deberá dar la cara cuando un malogrado golpe amenaza su vida, su amor y su libertad.;https://image.tmdb.org/t/p/original/o2YToge3eBhxC89m87zkWKVEx2O.jpg;Acción, Crimen;7.443;112;https://www.themoviedb.org/movie/339403
Babygirl [2024][1080p][3 Gb];Babygirl;TMDB;2024;Una alta ejecutiva pone en peligro su carrera y su familia cuando inicia un tórrido romance con su becario, mucho más joven que ella.;https://image.tmdb.org/t/p/original/1oYSulJCG2l2ZtLgaAKzM1YCl5E.jpg;Romance, Suspense;5.708;114;https://www.themoviedb.org/movie/1097549
Babylon [2022][1080p][4.19 Gb];Babylon;TMDB;2022;Ambientada en Los Angeles durante los años 20, cuenta una historia de ambición y excesos desmesurados que recorre la ascensión y caída de múltiples personajes durante una época de desenfrenada decadencia y depravación en los albores de Hollywood.;https://image.tmdb.org/t/p/original/9bHTq4XfYpAZcgzTLoPAElMytMj.jpg;Drama, Comedia;7.353;188;https://www.themoviedb.org/movie/615777
Back in Action [2025][1080p][2.975 Gb];De vuelta a la acción;TMDB;2025;Emily y Matt renunciaron hace años a ser espías de la CIA para formar una familia. Pero, cuando se descubre su tapadera, se ven arrastrados de nuevo al mundo del espionaje.;https://image.tmdb.org/t/p/original/mAvyQ2X3767LwXE2htvAd22ucd3.jpg;Acción, Comedia;6.434;114;https://www.themoviedb.org/movie/993710
Back to Black [2024][1080p][3.95 Gb];Back to Black;TMDB;2024;Biopic que narrará la vida personal y profesional de la cantante y compositora Amy Winehouse, que comenzó como cantante de jazz para convertirse en una superestrella mundial de la música ganadora de varios premios Grammy. Su vida se truncó en 2011 a los 27 años provocada por una vida llena de consumo y abuso de alcohol y drogas.;https://image.tmdb.org/t/p/original/jvyh8wjpFNiv5Jg3axoHz7jpJYU.jpg;Música, Historia, Drama;6.655;122;https://www.themoviedb.org/movie/998846
Back to the Future [1985][1080p][4.5 Gb];Regreso al futuro;TMDB;1985;"El adolescente Marty McFly es amigo de Doc, un científico al que todos toman por loco. Cuando Doc crea una máquina para viajar en el tiempo, un error fortuito hace que Marty llegue a 1955, año en el que sus futuros padres aún no se habían conocido. Después de impedir su primer encuentro, deberá conseguir que se conozcan y se casen; de lo contrario, su existencia no sería posible.";https://image.tmdb.org/t/p/original/owk40tn1sFJmC7bhamEpmhdZPKa.jpg;Aventura, Comedia, Ciencia ficción;8.326;116;https://www.themoviedb.org/movie/105
Back to the Future Part II [1989][1080p][4.13 Gb];Regreso al futuro II;TMDB;1989;Aunque a Marty McFly todavía le falta tiempo para asimilar el hecho de estar viviendo dentro de la familia perfecta gracias a su anterior viaje en el tiempo, no le queda ni espacio para respirar cuando su amigo Doc aparece de improviso con la máquina del tiempo (mucho más modernizada), e insta a que le acompañen él y su novia a viajar al futuro para solucionar un problema con la ley que tendrá uno de sus futuros hijos. En la tremenda vorágine futurista, con todo lo que ello conlleva, del Hill Valley de 2015, la presencia de tales viajeros temporales causará un efecto mayor que el que iban a arreglar. Un almanaque deportivo y la posesión del secreto de la existencia de la máquina del tiempo por parte del siempre villano Biff Tannen, serán los ingredientes que conjugarán una causa-efecto en el pasado, en el presente y en el propio futuro, que hará que Marty y Doc se tengan que emplear a fondo para poner fin a la catástrofe a la que les lleva el destino.;https://image.tmdb.org/t/p/original/oTiQdzBOP5biNvzvrSPAvPxiSKH.jpg;Aventura, Comedia, Ciencia ficción;7.781;107;https://www.themoviedb.org/movie/165
Back to the Future Part III [1990][1080p][4.56 Gb];Regreso al futuro III;TMDB;1990;Marty McFly sigue en 1955 y su amigo Doc ha retrocedido al año 1885, la época del salvaje oeste. Éste le envía una carta donde comenta que la máquina del tiempo está averiada, y que es imposible repararla. Sin embargo no le preocupa estar atrapado en el pasado, pues allí es muy feliz trabajando de herrero aunque convive con malhechores. Pero Marty descubre una vieja tumba en la que lee que Doc murió en 1885 y, sin pensárselo dos veces, irá a rescatar a su amigo.;https://image.tmdb.org/t/p/original/yamBr3ihlWFF9jh3oOODSvjDY2e.jpg;Aventura, Comedia, Ciencia ficción;7.493;118;https://www.themoviedb.org/movie/196
Backcountry [2014][1080p][1.39 Gb];En el bosque sobrevive;TMDB;2015;Una pareja urbana acampa en el bosque y se encuentran perdidos en el territorio de un oso negro depredador.;https://image.tmdb.org/t/p/original/uHhOZjAAd95kP6CWFautcFFRWQz.jpg;Terror, Suspense, Drama;5.968;92;https://www.themoviedb.org/movie/228973
Backdraft 2 [2019][720p][765 Mb];Llamaradas 2;TMDB;2019;"La secuela del éxito de 1991; sigue a un investigador de Chicago F.D., que tiene que rastrear a los traficantes de armas que usan los incendios mortales como una distracción.";https://image.tmdb.org/t/p/original/d5QfKjWG5UcEbbo7btAmXnJpaOn.jpg;Acción, Crimen, Drama;6.4;102;https://www.themoviedb.org/movie/587808
